PRO_COMNAT,PRO_COMORI,PRO_COMSIZE,PRO_EXP,PRO_POS,_ID
1,2,4,2,1,6124f5f49458375fc594cd29
2,2,4,2,1,61274c229458375fc594cd2a
2,3,6,2,1,61274fd59458375fc594cd2b
2,2,5,2,1,61275a509458375fc594cd2c
2,2,4,4,1,61275b639458375fc594cd2d
1,2,4,3,6,61277bd79458375fc594cd2e
1,3,3,2,3,61277d539458375fc594cd2f
1,3,2,3,1,612786b99458375fc594cd30
3,3,1,3,1,612786bc9458375fc594cd31
3,2,2,4,1,612789439458375fc594cd32
3,3,5,4,3,61278dac9458375fc594cd33
3,3,2,4,3,612799ba9458375fc594cd34
2,3,2,4,3,6127ad9b9458375fc594cd35
2,2,2,5,1,6127c7769458375fc594cd36
3,3,6,4,3,6127d3ca9458375fc594cd37
3,1,6,2,2,6127d5629458375fc594cd38
3,2,6,3,2,6127de859458375fc594cd39
3,2,4,4,1,6127e66e9458375fc594cd3a
1,2,5,3,1,61287edb9458375fc594cd3b
1,1,2,3,3,612895539458375fc594cd3c
2,2,2,4,3,6128f9d99458375fc594cd3d
3,2,4,2,2,612cbca09458375fc594cd3e
3,2,6,2,1,612cbe6a9458375fc594cd3f
2,1,2,1,1,612cc5da9458375fc594cd40
3,1,6,3,5,612d61339458375fc594cd41
3,2,3,4,3,612dd9a19458375fc594cd42
,,,,,613e6d369458375fc594cd43
2,3,2,3,3,613e70ca9458375fc594cd44
3,2,1,4,3,613eeb559458375fc594cd45
2,2,3,3,2,613f24d59458375fc594cd46
2,2,3,2,2,613f2d649458375fc594cd47
3,2,2,5,3,613f32849458375fc594cd48
2,2,2,2,2,613f69269458375fc594cd49
2,3,3,1,2,613fb8569458375fc594cd4a
2,1,3,1,2,61404f4b9458375fc594cd4b
2,2,6,2,1,614831aa9458375fc594cd4c
1,1,2,1,1,61486a999458375fc594cd4d
1,1,2,2,2,61487beb9458375fc594cd4e
1,1,1,3,1,6149836f9458375fc594cd4f
1,1,2,2,1,614a0ed39458375fc594cd50
3,3,5,3,2,614b474e9458375fc594cd51
3,1,4,2,2,614c6d999458375fc594cd52
3,1,5,4,3,614c9a279458375fc594cd53
3,2,5,4,1,614d8b0a9458375fc594cd54
3,3,5,5,3,614da04c9458375fc594cd55
1,2,2,3,1,614f25069458375fc594cd56
1,1,3,3,3,614f39879458375fc594cd57
2,3,3,1,1,614f4e239458375fc594cd58
1,1,1,1,1,6151ae659458375fc594cd59
2,1,1,4,3,6151d5369458375fc594cd5a
2,1,2,2,5,6151ed699458375fc594cd5b
1,2,1,3,3,6152190e9458375fc594cd5c
2,1,3,3,1,6152315b9458375fc594cd5d
2,3,1,5,3,615291a69458375fc594cd5e
1,1,2,4,1,6152d00a9458375fc594cd5f
1,1,1,3,4,6152f7cd9458375fc594cd60
